Campaign_Name,Id,Status,Date,Amount,Payout,Sub_Id,Currency,Partner,Inventory,Email_Id
Ajio,23300337,pending,1/11/2025,525.5,39.94,app,INR,Cuelinks,Flipshope,agoyal@flipshope.com
Myntra,23171584,pending,1/1/2025,359.0,16.16,app,INR,Cuelinks,Flipshope,agoyal@flipshope.com
Myntra,23406991,pending,1/16/2025,307.0,13.82,telegram,INR,Cuelinks,Flipshope,agoyal@flipshope.com
Ajio,23525380,pending,1/24/2025,199.0,22.69,app,INR,Cuelinks,Flipshope,agoyal@flipshope.com
Flipkart ,1128253421,pending,2/20/2025,15.0,0.8,app,INR,Admitad,Flipshope,agoyal@flipshope.com
Ajio,23401222,pending,1/16/2025,645.0,49.02,store_page,INR,Cuelinks,Flipshope,agoyal@flipshope.com
Myntra,23407455,pending,1/16/2025,376.0,16.92,telegram,INR,Cuelinks,Flipshope,agoyal@flipshope.com
Myntra,23477379,pending,1/19/2025,1219.0,54.86,app,INR,Cuelinks,Flipshope,agoyal@flipshope.com
Ajio,23203058,pending,1/4/2025,289.0,21.96,telegram,INR,Cuelinks,Flipshope,agoyal@flipshope.com
Ajio,23291980,pending,1/10/2025,545.0,41.42,app,INR,Cuelinks,Flipshope,agoyal@flipshope.com
Flipkart ,1122340655,pending,2/1/2025,129.0,4.2,telegram,INR,Admitad,Flipshope,agoyal@flipshope.com
Flipkart ,1127919540,pending,2/19/2025,152.0,5.1,telegram,INR,Admitad,Flipshope,agoyal@flipshope.com
Flipkart ,1120369335,pending,1/25/2025,61.0,1.7,app,INR,Admitad,Flipshope,agoyal@flipshope.com
Flipkart ,1125219974,pending,2/10/2025,289.0,10.2,app,INR,Admitad,Flipshope,agoyal@flipshope.com
Flipkart ,1123364363,pending,2/4/2025,84.0,3.4,telegram,INR,Admitad,Flipshope,agoyal@flipshope.com
Flipkart ,1126655087,pending,2/15/2025,74.0,2.5,app,INR,Admitad,Flipshope,agoyal@flipshope.com
Flipkart ,1123750205,pending,2/5/2025,339.0,8.5,app,INR,Admitad,Flipshope,agoyal@flipshope.com
Myntra,23407631,pending,1/16/2025,503.0,45.27,telegram,INR,Cuelinks,Flipshope,agoyal@flipshope.com
Flipkart ,1128253442,pending,2/20/2025,15.0,0.8,app,INR,Admitad,Flipshope,agoyal@flipshope.com
Ajio,23305513,pending,1/11/2025,638.6,72.8,app,INR,Cuelinks,Flipshope,agoyal@flipshope.com
Flipkart ,1123553341,pending,2/5/2025,239.0,5.9,app,INR,Admitad,Flipshope,agoyal@flipshope.com
Fernsnpetals,1121405111,pending,1/29/2025,1034.0,72.3,store_page,INR,Admitad,Flipshope,agoyal@flipshope.com
Myntra,23442036,pending,1/18/2025,154.0,6.93,app,INR,Cuelinks,Flipshope,agoyal@flipshope.com
Ajio,23530612,pending,1/24/2025,289.42,32.99,app,INR,Cuelinks,Flipshope,agoyal@flipshope.com
Flipkart ,1128770057,pending,2/22/2025,100.0,0.8,telegram,INR,Admitad,Flipshope,agoyal@flipshope.com
Ajio,23533417,pending,1/24/2025,149.0,16.99,app,INR,Cuelinks,Flipshope,agoyal@flipshope.com
Flipkart ,1113928576,pending,1/2/2025,384.0,12.7,app,INR,Admitad,Flipshope,agoyal@flipshope.com
Flipkart ,1130005534,pending,2/26/2025,45.0,1.7,telegram,INR,Admitad,Flipshope,agoyal@flipshope.com
Flipkart ,1128686964,pending,2/22/2025,489.0,12.7,app,INR,Admitad,Flipshope,agoyal@flipshope.com
Myntra,23444305,pending,1/17/2025,154.0,6.93,telegram,INR,Cuelinks,Flipshope,agoyal@flipshope.com
Myntra,23477261,pending,1/19/2025,250.0,11.25,app,INR,Cuelinks,Flipshope,agoyal@flipshope.com
Flipkart ,1118112304,pending,1/17/2025,0.0,0.0,app,INR,Admitad,Flipshope,agoyal@flipshope.com
Myntra,23212734,pending,1/4/2025,514.0,23.13,app,INR,Cuelinks,Flipshope,agoyal@flipshope.com
Myntra,23241067,pending,1/6/2025,99.0,8.91,web,INR,Cuelinks,Flipshope,agoyal@flipshope.com
Ajio,23530981,pending,1/24/2025,199.0,22.69,app,INR,Cuelinks,Flipshope,agoyal@flipshope.com
Ajio,23518976,pending,1/23/2025,199.0,15.12,telegram,INR,Cuelinks,Flipshope,agoyal@flipshope.com
Flipkart ,1123886691,pending,2/6/2025,22.0,0.0,telegram,INR,Admitad,Flipshope,agoyal@flipshope.com
